,DEPT,AGK,BK,DS,DT,GGKP,GK,GZ1,GZ2,GZ3,GZ4,GZ5,IK,LIT_new,MBK,MDS,MGZ,MPZ,NGK,NKT,PS,PZ,SATURAT_new,Soil_new,kp_new,well,FZ,EF_b
14664,3726.2,0.6399999857,17.36000061,NaN,242.19000244,2.4649999142,6.7899999619,9.6899995804,24.309999466,21.930000305,13.069999695,14.789999962,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.7470002174,NaN,23.719999313,0.0,NaN,13.704000473,235,2.0,2.0
14665,3726.3,0.7319999933,17.770000458,NaN,242.13999939,2.5,6.1729998589,9.7899999619,24.459999084,23.129999161,13.399999619,14.840000153,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.2329998016,NaN,24.129999161,0.0,NaN,13.704000473,235,2.0,2.0
14666,3726.4,0.6779999733,18.13999939,NaN,241.33999634,2.4509999752,6.5399999619,9.7700004578,24.670000076,23.680000305,14.020000458,15.119999886,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.3260002136,NaN,24.329999924,0.0,NaN,13.704000473,235,2.0,2.0
14667,3726.5,0.6800000072,18.040000916,NaN,239.94999695,2.388999939,6.5229997635,9.9099998474,24.780000687,25.090000153,14.300000191,15.279999733,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.8959999084,NaN,24.569999695,0.0,NaN,13.704000473,235,2.0,2.0
14668,3726.6,0.6179999709,17.850000381,NaN,238.41999817,2.4419999123,6.9400000572,9.9799995422,25.059999466,25.940000534,15.010000229,15.380000114,NaN,1.0,NaN,NaN,NaN,NaN,NaN,7.1669998169,NaN,24.770000458,0.0,NaN,13.704000473,235,2.0,2.0
14669,3726.7,0.5929999948,17.989999771,NaN,237.30999756,2.4300000668,7.1069998741,10.029999733,25.299999237,27.25,15.430000305,15.819999695,NaN,1.0,NaN,NaN,NaN,NaN,NaN,7.1579999924,NaN,25.049999237,0.0,NaN,13.704000473,235,2.0,2.0
14670,3726.8,0.5609999895,18.510000229,NaN,236.86000061,2.4809999466,7.3229999542,10.039999962,25.299999237,27.909999847,16.120000839,16.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,7.1900000572,NaN,25.459999084,0.0,NaN,13.704000473,235,2.0,2.0
14671,3726.9,0.5189999938,18.680000305,NaN,236.6499939,2.507999897,7.6069998741,10.039999962,25.700000763,28.600000381,16.420000076,16.469999313,NaN,1.0,NaN,NaN,NaN,NaN,NaN,7.1339998245,NaN,25.629999161,0.0,NaN,13.704000473,235,2.0,2.0
14672,3727.0,0.5770000219,18.969999313,NaN,235.8500061,2.5799999237,7.2230000496,9.9399995804,25.540000916,29.75,17.219999313,16.819999695,NaN,1.0,NaN,NaN,NaN,NaN,NaN,7.2090001106,NaN,26.239999771,0.0,NaN,13.704000473,235,2.0,2.0
14673,3727.1,0.6439999938,18.909999847,NaN,234.19999695,2.5309998989,6.7729997635,9.9300003052,25.459999084,30.120000839,17.729999542,17.530000687,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.9809999466,NaN,26.479999542,0.0,NaN,13.704000473,235,2.0,2.0
14674,3727.2,0.6930000186,18.870000839,NaN,232.32000732,2.4909999371,6.4400000572,9.8500003815,25.659999847,31.11000061,18.229999542,17.879999161,NaN,1.0,NaN,NaN,NaN,NaN,NaN,7.0640001297,NaN,27.129999161,0.0,NaN,13.704000473,235,2.0,2.0
